Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,1721.728980154,1629.3097660052,1765.8507201129,1816.9497883304,1937.7157062766,2146.1789139306,2326.3075523788,2561.4409215609,2867.4990924888,2697.3827674778,2882.3860258895,3240.3759129318,3340.782703508
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,621.4248263189,692.3188255333,779.892841685,924.5821548293,1182.0973596488,1625.4077691268,2126.0875217887,3079.1521874095,3916.7381073829,2913.5741433858,3124.784017862,3421.6264302714,3353.8629299787
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,1753.7545895197,1697.4360595112,1772.1131567682,2059.5014666022,2353.5088779488,2547.6197802255,2642.5544566864,2872.9285521117,3025.6168588206,2653.6783041687,2896.0444094729,3336.3955008201,3488.7700931743
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,2126.8328715439,2206.6561156159,2391.3474033358,2434.7613057987,2517.6933890156,2645.9814053556,2757.3727056294,2877.1179290508,2924.3965929754,2906.2513135018,3126.516365301,3294.7271168683,3507.9193226144
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,691.9977101053,733.9704142073,779.3845934799,922.0297416215,1186.8730474376,1469.9273198037,1761.1201002396,2318.1272627237,2918.7108154492,2440.9613177728,2613.7569247277,3219.6058711035,3528.7315108498
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,1218.7960311028,1248.9114236891,1352.4737708392,1743.1911530562,1951.780820968,2030.6589816628,2298.8148219032,3129.8187920146,3692.0026744073,3524.3303532933,3413.2633698938,3801.4497649353,3543.4552893236
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,957.2809758067,931.2846248675,962.4740208696,984.4977823983,1038.2854755636,1084.1794009521,1905.5523327629,2258.9810085284,2478.4084869146,2593.3706198446,2873.9520080047,3257.8848644106,3584.693489379
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,KSV,1087.7624012089,1490.3610325023,1587.5058285127,1969.5627130741,2135.3328465238,2190.4975958252,2371.6620785632,2788.4794637241,3254.8606736952,3209.6941085705,3283.2119384317,3738.7813687803,3600.8870002769
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,1531.8889089437,1403.2460915897,1135.2953806284,1159.3977555672,1386.7460269684,1479.4041774488,1770.0134881394,2252.1379999543,2967.1861624457,2510.282080799,3103.4650383597,3818.5472481076,3677.8812410089
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,789.8058801027,756.9310129586,909.8873302205,1076.219004749,1160.6149236276,1273.4652165611,1601.0311458261,1871.2884062736,2178.1977256677,2272.0415283734,3137.3823562137,3662.6870442392,3718.1168708463
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,2204.1540620468,2307.7710904668,2381.1528969554,2495.5691858812,2611.1610719275,2814.9350403406,3042.748428164,3283.5305584627,3483.7094198488,3341.3202007153,3444.4561484482,3698.5461879512,3781.5007287141
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,635.7089635372,780.7380243251,879.4750486228,1048.5224879076,1367.3524333363,1828.7072773532,2303.0188309318,3068.608997997,3891.0378231821,2545.4803410735,2973.9964807156,3569.7570274048,3855.4212801318
